,User,listed_count,followers_count,text,retweets,favorites
0,SeptemberSpell,0,58,"RT @SandraTXAS: Regressive 'resistance' make fun of how Melania looks and speaks 
Do that to Michelle? You're racist.... 🙄

#MAGA
#Trump
#D…",1513,0
1,judyf23,8,169,A US-born NASA scientist was detained at the border until he unlocked his phone https://t.co/USqYJQxArK via @Verge,0,0
2,JerrySeeker,8,64,"@matthewjdowd @KattyKayBBC  
America will win when trump is impeached.
#resist #persist",0,0
3,Brace4impactLA,4,107,RT @LouiseMensch: Excellent report @Buzzfeed; too few MSM seem to realize @JeffSessions placed Russian spy Carter Page in Team Trump https:…,568,0
4,IsabelSong,44,803,RT @JuddLegum: 1. Absolutely stunning interviews by @EricLiptonNYT w/Don Jr. and Eric about how they are running the Trump Org. https://t.c…,70,0
5,frankeljeanette,1,79,RT @LouiseMensch: Excellent report @Buzzfeed; too few MSM seem to realize @JeffSessions placed Russian spy Carter Page in Team Trump https:…,568,0
6,C_Gregory_Films,21,191,"@ColMorrisDavis @fawfulfan But not if Trump's head is so far up his ass, his belches smell like farts!!",0,0
7,arthurmecc,1,64,RT @Truth_Bombers: Stephen Miller took down the mainstream media narrative in one swoop! President Trump's administration is doing really w…,326,0
8,ladiosaodiosa2,32,1022,México se moviliza contra agresión de Presidente Trump y dice NO https://t.co/BLRIccBAVb,0,0
9,RobertStarling9,0,25,I just beat #Trump in @Dice_World! You can too! Join the fun!. https://t.co/JjWR45AxgL https://t.co/twOI2UfSaO,0,0
10,Grantastico,0,37,"RT @brandongroeny: It's stunning how celebrities and the Media are so far out of touch with real people. We love Trump, your opinion is irr…",5,0
11,arcangel12741,21,615,RT @brobert545: #TRUMP #MSM I spent 8 years watching you media fools applaud #Obamas every mistake. Now shut the fuck up for repairs https:…,62,0
12,VampireLestat,6,702,RT @DarthPutinKGB: Trump's tweets have far fewer trolls defending him in the replies cos we sent them to work on Le Pen &amp; Merkel.,25,0
13,SNNinATX,8,57,RT @jhuckobey: @JohnCornyn think that'll have a little political repurcussions? Nahhh. Stay on that Trump train while he destroys our repub…,1,0
14,gracepatalano,0,38,"RT @nbcsnl: President Trump v. the Ninth Circuit Court judges. 

📺 Trump People's Court: https://t.co/Yx4fqw5oLU #SNL https://t.co/dVwx3OTL…",279,0
15,Mavgoose2,27,1556,"RT @_Makada_: Lying MSM says President Trump is having a ""bad week"" and his approval ratings are low, sounds a lot like the FAKE NEWS durin…",95,0
16,rolln43,2,32,RT @thenation: Send this to anyone you know who wants to get involved in the #resistance against Trump. https://t.co/Q4oowhC80x,170,0
17,BrianWilliamsNY,0,24,@Cincinnati__Kid Trump troll. Your gone see ya,0,0
18,norplescu,137,822,"RT @ericgarland: Dr. Maddow calls it. Hey. Everyone: The Flynn story is not an incremental thing. It's the beginning of the blowup.

https:…",3361,0
19,MonicaRivpin,51,392,"RT @Khanoisseur: .@NancyPelosi you really expect Comey to investigate Trump-Russia ties? You know who he reports to, right? https://t.co/QK…",356,0
20,_nellejane,28,262,RT @michealanadon: @hkpresley @domknight @KyloInMN @realDonaldTrump @JenMike0824 Ignore trump's blatant corruption b/c it protects us from…,1,0
21,EMCEE_PHATTUMS,20,953,"RT @brianklaas: Trump has golfed two weekends in a row (out of 4 as president).

Here are 11 times Trump criticized Obama for playing golf…",20886,0
22,charlidear,0,8,RT @SenSanders: I disagreed with President Bush all the time. I never called him a pathological liar. He was just conservative. But Trump l…,12781,0
23,LEFT_NO_RIGHT,3,219,@The_Trump_Train Obama was already taking them out silly boy. https://t.co/KujBdA146N,0,0
24,genuinesjt,76,226,"RT @ZaidZamanHamid: Hussain Haqqani is writing reports, recommendations, suggestions for the Trump admin to crush Pak to benefit India..
ht…",110,0
25,OOsal,140,6162,RT @Shareblue: A shameful disdain for his duty. https://t.co/wxbp5cXbAb By @tommyxtopher for #Shareblue,30,0
26,Can_ada,566,14352,RT @hinterlandg: Elijah Cummings: Did Donald Trump Instruct Mike Flynn to Talk to the Russians? https://t.co/NwE1u7Lioi,1,0
27,david_pcastro,0,35,"#Video Protesta contra Trump y… Peña, en Paseo de la Reforma / un video de... https://t.co/cLKPx3ga90 by #revistaproceso via @c0nvey",0,0
28,brainyisnewsexy,16,167,RT @JuddLegum: Trump’s chief policy advisor says the president’s power ‘will not be questioned’ https://t.co/2MTF1mEoqi https://t.co/m6D8Js…,128,0
29,cgnetwork,269,948,"Trump’s unhealthy dependence problem: The president’s at war with courts, press and states… https://t.co/0QSQLkI1mp",0,0
