,User,listed_count,followers_count,text,retweets,favorites,Score
570,El_Universal_Mx,34.5212439992,36.4887040873,En #Guadalajara se manifiestan contra #Trump y contra el #Gasolinazo desde la Plaza de Armas https://t.co/hTOEerc8Li https://t.co/r1MXYRRKsn,-0.206014312178,2,26.5420937385
74,ElNacionalWeb,26.0041215626,34.0431152768,Shakira criticó el veto migratorio de Donald Trump https://t.co/kE0mGtUtJC  https://t.co/J0BlBgw7OQ,-0.206220031119,0,22.3226053478
4236,thehill,29.2538628626,16.2937331189,"""Weak congressional Republicans are not standing up to Trump as they should"" https://t.co/en5IfZMs2q https://t.co/iNp4mzXVsS",-0.203648544357,55,17.2608672453
595,diarioas,16.5761872786,18.6244365593,"RT @AS_NBA: Donald Trump, a Mark Cuban: ""No tienes inteligencia para ser candidato a presidente"". https://t.co/W3x8uPIOlW https://t.co/3vBb…",-0.206014312178,0,13.1121544812
611,T13,10.7693933003,22.6415510263,Diario dominicano pide disculpas tras confundir a Donald Trump con actor Alec Baldwin » https://t.co/Vw0pRutyUy https://t.co/uc1mkdc29N,-0.206220031119,1,12.2655462982
4020,doctorow,19.2894633481,3.50042835504,"RT @dranniehickox: Wow. This is troubling. 
Trump Attacks Disabled Children By Removing Disability Education Rights Website https://t.co/p8…",-0.205088576944,0,8.77688429791
1504,Gothamist,9.97501209368,5.91547461302,Meryl Streep Gives Powerful Speech Vowing To Stand Up To Trump And 'Brownshirts' https://t.co/FddRVvkNcO https://t.co/EnTBExz5z3,-0.206014312178,5,5.97992067769
3123,BuzzFeedBen,11.4075511157,2.27493679456,"RT @HayesBrown: So North Korea launches a missile:
- Trump delivers truncated remarks
- No word from Tillerson
- Or Mattis
- Or Pompeo
- Or…",-0.20200279283,0,5.24351466674
4184,billyeichner,4.58677889964,6.92553824967,"RT @ChuckGrassley: Whoever monitors twitter at WH tell Pres Trump to ask Putin""What do u hv agst ElectionOpponents bc they are killed/impri…",-0.128046833568,0,4.24334366278
3916,nealbrennan,7.52259961149,2.50464031583,Newest Trump spokesman. https://t.co/T9aVVPr7So,-0.204677139062,44,3.79865210397
1989,rcasteleiro,-0.0424444216088,-0.0481037000929,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5569942734,0,3.35539408126
2279,POSEYTG,-0.0557086718129,-0.0445999189689,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5570971329,0,3.35146019109
3393,pabalsan,-0.0601300885477,-0.0510361212255,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5573028518,0,3.34747599202
3207,hesftcad,-0.0822371722212,-0.0373066767251,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5573028518,0,3.34369443933
685,satvri,-0.0984490335819,-0.0329542579667,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5567885545,0,3.33875135472
1158,belldandy_18,-0.0896062001124,-0.0505823941735,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5567885545,0,3.33592956208
1500,castanyer_,-0.107291867051,-0.0555061729233,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5568914139,0,3.32724884396
2063,thedawncourt,-0.120556117255,-0.0526325682604,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5570971329,0,3.32311560564
541,andergsolana,-0.120556117255,-0.0534475964835,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5567885545,0,3.32274737953
829,Laurikroeger,-0.126451339568,-0.0514142271022,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5567885545,0,3.32115760268
4023,AdrianCantarrel,-0.132346561881,-0.0553129188086,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5573028518,0,3.31757780693
2982,Sarasola19,-0.142663200929,-0.0534307917779,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5571999924,0,3.31417131495
3592,HeavenRGP,-0.145610812085,-0.0569513776076,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5573028518,0,3.31178168764
2783,Horaciohkb,-0.148558423242,-0.055657415274,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5571999924,0,3.31106011208
572,ceasudethe1978,-0.147084617664,-0.0579512575926,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5567885545,0,3.31071701825
2046,KateLyon93,-0.15003222882,-0.0560523258563,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5570971329,0,3.31031436267
4295,AlexCorral10,-0.15003222882,-0.056884158785,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5574057113,0,3.31009442408
3436,asliiataman,-0.15003222882,-0.0574303117181,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5573028518,0,3.30987365459
186,Cordobesista_,-0.15003222882,-0.0575647493631,RT @tamoorh: Reading Trump tweets https://t.co/yFDOZGLq3t,13.5567885545,0,3.30969706681
1687,newscomauHQ,4.45118878644,3.79936726351,"Pilot’s bizarre Trump, divorce rant https://t.co/S40SDqadY1",-0.206117171648,0,3.05406889587
4470,lasillarota,4.87711859855,2.33313149016,'¿Protestar contra #Trump sin protestar contra este modelo económico empobrecedor?' #VibraMéxico… https://t.co/m0A39MrNQq,-0.205911452707,3,2.69779426131
3388,waveyday,-0.15003222882,-0.0571026199582,RT @ChriStylezz: You know what kind of evil Donald Trump gotta be to bring these people out the woods https://t.co/SDxULOkxJ6,10.1326996423,0,2.45383988498
3097,nancyrubin,6.17554131298,0.0277275340665,RT @WIRED: A collaboration between government and tech exists that may actually yield some positive results https://t.co/pdlS3rj2TZ,-0.205602874296,0,2.38460748798
70,EmilskisLowmane,-0.147084617664,-0.0559346929169,"RT @queentrash__: High school teachers: I'm not going to share my political beliefs, it's unprofessional 
College Profs: what is the square…",9.5971103796,0,2.32151767621
2753,shakilaa_m,-0.147084617664,-0.0573042764258,RT @colesprouse: Everybody complaining about Trump but club penguin is shutting down so maybe check your priorities?,9.59402459549,0,2.32025709321
